time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,21,13,0,0
2026-04-02 00:00:00+00:00,3,3,10,3
2026-04-03 00:00:00+00:00,30,18,1,1
2026-04-04 00:00:00+00:00,9,4,2,2
2026-04-05 00:00:00+00:00,20,10,1,1
2026-04-06 00:00:00+00:00,16,11,1,1
2026-04-07 00:00:00+00:00,14,9,1,1
2026-04-08 00:00:00+00:00,19,8,5,4
2026-04-09 00:00:00+00:00,16,7,4,3
2026-04-10 00:00:00+00:00,15,6,25,4
2026-04-11 00:00:00+00:00,47,14,3,2
2026-04-12 00:00:00+00:00,27,13,0,0
2026-04-13 00:00:00+00:00,34,12,10,7
2026-04-14 00:00:00+00:00,15,5,4,3
