time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-04 00:00:00+00:00,1,1,,
2024-08-06 00:00:00+00:00,1,1,8.0,2.0
2024-08-07 00:00:00+00:00,19,8,48.0,1.0
2024-08-08 00:00:00+00:00,2,2,6.0,2.0
2024-08-09 00:00:00+00:00,1,1,1.0,1.0
2024-08-10 00:00:00+00:00,2,2,,
2024-08-11 00:00:00+00:00,3,2,4.0,1.0
2024-08-12 00:00:00+00:00,3,3,1.0,1.0
2024-08-13 00:00:00+00:00,4,2,,
2024-08-14 00:00:00+00:00,2,2,2.0,2.0
2024-08-15 00:00:00+00:00,1,1,,
2024-08-16 00:00:00+00:00,1,1,2.0,1.0
2024-08-17 00:00:00+00:00,3,3,,
