referrer,views_total,views_unique
nature.com,203,97
github.com,80,12
Google,53,17
zellerlab.github.io,20,10
statics.teams.cdn.office.net,10,2
biorxiv.org,9,2
Bing,7,5
www-nature-com.ezp-prod1.hul.harvard.edu,6,2
Baidu,5,1
chatgpt.com,1,1
