time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,10,5,16,9
2026-06-30 00:00:00+00:00,3,3,5,4
2026-07-01 00:00:00+00:00,10,5,18,6
2026-07-02 00:00:00+00:00,11,6,10,3
2026-07-03 00:00:00+00:00,17,7,6,6
2026-07-04 00:00:00+00:00,18,9,1,1
2026-07-05 00:00:00+00:00,26,17,0,0
2026-07-06 00:00:00+00:00,11,7,5,4
2026-07-07 00:00:00+00:00,16,6,16,5
2026-07-08 00:00:00+00:00,20,8,7,3
2026-07-09 00:00:00+00:00,26,15,9,6
2026-07-10 00:00:00+00:00,4,4,13,3
2026-07-11 00:00:00+00:00,8,7,4,3
2026-07-12 00:00:00+00:00,20,4,2,1
