time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-06 00:00:00+00:00,1,1,5.0,2.0
2024-10-07 00:00:00+00:00,2,2,,
2024-10-08 00:00:00+00:00,1,1,1.0,1.0
2024-10-09 00:00:00+00:00,4,2,56.0,6.0
2024-10-10 00:00:00+00:00,1,1,5.0,2.0
2024-10-11 00:00:00+00:00,1,1,,
2024-10-12 00:00:00+00:00,3,3,,
2024-10-13 00:00:00+00:00,1,1,,
2024-10-14 00:00:00+00:00,1,1,3.0,3.0
2024-10-15 00:00:00+00:00,3,3,6.0,3.0
2024-10-16 00:00:00+00:00,2,2,5.0,2.0
2024-10-17 00:00:00+00:00,1,1,,
2024-10-18 00:00:00+00:00,3,2,1.0,1.0
2024-10-19 00:00:00+00:00,1,1,,
