time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,14,8,13,6
2026-02-25 00:00:00+00:00,18,8,5,2
2026-02-26 00:00:00+00:00,8,7,14,3
2026-02-27 00:00:00+00:00,11,10,4,4
2026-02-28 00:00:00+00:00,5,4,1,1
2026-03-01 00:00:00+00:00,32,11,0,0
2026-03-02 00:00:00+00:00,22,10,2,2
2026-03-03 00:00:00+00:00,18,9,8,4
2026-03-04 00:00:00+00:00,14,7,10,6
2026-03-05 00:00:00+00:00,14,7,10,2
2026-03-06 00:00:00+00:00,4,3,1,1
2026-03-07 00:00:00+00:00,13,8,0,0
2026-03-08 00:00:00+00:00,4,3,0,0
2026-03-09 00:00:00+00:00,12,7,1,1
