url_path,views_total,views_unique
/zellerlab/cayman,33,15
/zellerlab/cayman/blob/main/cayman/annotate/crazy_annotator.py,5,2
/zellerlab/cayman/blob/main/requirements.txt,5,2
/zellerlab/cayman/tree/main/cayman,3,2
/zellerlab/cayman/tree/main/cayman/annotate,3,2
/zellerlab/cayman/blob/main/DESCRIPTION.md,3,1
/zellerlab/cayman/releases/tag/v0.10.1,3,1
/zellerlab/cayman/blob/795d4c94f5d1ff75b0c70c1d68a5d2d3181fba6c/cayman/annotate/crazy_annotator.py,2,2
/zellerlab/cayman/issues,2,2
/zellerlab/cayman/issues/8,2,2
