time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,20,8,7,3
2026-07-09 00:00:00+00:00,26,15,9,6
2026-07-10 00:00:00+00:00,4,4,13,3
2026-07-11 00:00:00+00:00,8,7,4,3
2026-07-12 00:00:00+00:00,20,4,2,1
2026-07-13 00:00:00+00:00,21,10,6,5
2026-07-14 00:00:00+00:00,28,10,11,7
2026-07-15 00:00:00+00:00,59,27,32,7
2026-07-16 00:00:00+00:00,10,5,10,5
2026-07-17 00:00:00+00:00,13,7,16,8
2026-07-18 00:00:00+00:00,11,6,8,4
2026-07-19 00:00:00+00:00,14,5,3,1
2026-07-20 00:00:00+00:00,25,14,6,5
2026-07-21 00:00:00+00:00,11,7,12,8
