time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-29 00:00:00+00:00,15,6,5,2
2026-07-30 00:00:00+00:00,17,8,5,5
2026-07-31 00:00:00+00:00,15,9,6,6
2026-08-01 00:00:00+00:00,10,5,1,1
2026-08-02 00:00:00+00:00,18,11,0,0
2026-08-03 00:00:00+00:00,9,4,6,5
2026-08-04 00:00:00+00:00,5,5,5,4
2026-08-05 00:00:00+00:00,23,11,18,11
2026-08-06 00:00:00+00:00,13,7,24,11
2026-08-07 00:00:00+00:00,16,6,4,4
2026-08-08 00:00:00+00:00,13,4,0,0
2026-08-09 00:00:00+00:00,7,3,6,2
2026-08-10 00:00:00+00:00,3,3,14,10
2026-08-11 00:00:00+00:00,18,13,8,6
