referrer,views_total,views_unique
nature.com,157,77
Google,55,15
github.com,51,11
zellerlab.github.io,20,8
biorxiv.org,9,2
Bing,5,3
Baidu,5,1
statics.teams.cdn.office.net,2,1
chatgpt.com,1,1
linkedin.com,1,1
