time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-22 00:00:00+00:00,1,1,,
2024-11-23 00:00:00+00:00,3,2,2.0,1.0
2024-11-24 00:00:00+00:00,2,2,18.0,1.0
2024-11-25 00:00:00+00:00,1,1,,
2024-11-26 00:00:00+00:00,4,2,9.0,4.0
2024-11-27 00:00:00+00:00,3,2,4.0,3.0
2024-11-28 00:00:00+00:00,2,2,1.0,1.0
2024-11-29 00:00:00+00:00,1,1,15.0,4.0
2024-11-30 00:00:00+00:00,4,3,6.0,2.0
2024-12-01 00:00:00+00:00,5,3,,
2024-12-02 00:00:00+00:00,4,3,13.0,4.0
2024-12-03 00:00:00+00:00,4,2,17.0,2.0
2024-12-04 00:00:00+00:00,1,1,8.0,1.0
2024-12-05 00:00:00+00:00,2,1,5.0,3.0
