referrer,views_total,views_unique
nature.com,35,21
Google,23,7
Bing,7,5
github.com,3,3
zellerlab.github.io,2,1
biorxiv.org,1,1
chatgpt.com,1,1
pypi.org,1,1
www-nature-com.libproxy.unl.edu,1,1
