referrer,views_total,views_unique
nature.com,20,10
Google,16,8
claude.ai,6,2
zellerlab.github.io,6,1
biorxiv.org,5,1
github.com,4,2
DuckDuckGo,1,1
cdn.mr-gut.cn,1,1
doubao.com,1,1
