time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,43,22,88,38
2026-04-26 00:00:00+00:00,39,14,55,35
2026-04-27 00:00:00+00:00,23,10,104,39
2026-04-28 00:00:00+00:00,42,19,102,34
2026-04-29 00:00:00+00:00,81,20,71,33
2026-04-30 00:00:00+00:00,18,7,121,36
2026-05-01 00:00:00+00:00,45,13,27,11
2026-05-02 00:00:00+00:00,15,5,13,9
2026-05-03 00:00:00+00:00,27,11,25,7
2026-05-04 00:00:00+00:00,12,6,20,15
2026-05-05 00:00:00+00:00,29,8,27,12
2026-05-06 00:00:00+00:00,28,9,34,22
2026-05-07 00:00:00+00:00,36,11,63,20
2026-05-08 00:00:00+00:00,16,10,21,6
