url_path,views_total,views_unique
/zellerlab/cayman,40,22
/zellerlab/cayman/tree/main/cayman,21,4
/zellerlab/cayman/tree/main/cayman/annotate,8,3
/zellerlab/cayman/blob/main/cayman/functions.py,8,2
/zellerlab/cayman/blob/main/cayman/handle_args.py,8,2
/zellerlab/cayman/blob/main/cayman/__main__.py,6,2
/zellerlab/cayman/tree/main,4,4
/zellerlab/cayman/blob/main/environment.yml,4,3
/zellerlab/cayman/blob/main/cayman/__init__.py,4,2
/zellerlab/cayman/blob/main/cayman/annotate/crazy_annotator.py,4,2
