time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,63,33,27,11
2026-05-29 00:00:00+00:00,17,7,39,16
2026-05-30 00:00:00+00:00,17,7,9,3
2026-05-31 00:00:00+00:00,15,6,10,9
2026-06-01 00:00:00+00:00,20,9,14,12
2026-06-02 00:00:00+00:00,26,5,12,8
2026-06-03 00:00:00+00:00,26,12,11,10
2026-06-04 00:00:00+00:00,20,11,12,8
2026-06-05 00:00:00+00:00,20,9,29,12
2026-06-06 00:00:00+00:00,21,10,5,4
2026-06-07 00:00:00+00:00,27,10,9,6
2026-06-08 00:00:00+00:00,15,6,14,10
2026-06-09 00:00:00+00:00,29,13,19,10
2026-06-10 00:00:00+00:00,24,11,4,4
