time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-04 00:00:00+00:00,9.0,5.0,,
2026-01-05 00:00:00+00:00,3.0,3.0,,
2026-01-06 00:00:00+00:00,12.0,5.0,,
2026-01-07 00:00:00+00:00,2.0,2.0,,
2026-01-08 00:00:00+00:00,7.0,3.0,,
2026-01-09 00:00:00+00:00,3.0,3.0,1.0,1.0
2026-01-10 00:00:00+00:00,9.0,5.0,0.0,0.0
2026-01-11 00:00:00+00:00,13.0,5.0,2.0,2.0
2026-01-12 00:00:00+00:00,14.0,7.0,36.0,2.0
2026-01-13 00:00:00+00:00,8.0,5.0,10.0,2.0
2026-01-14 00:00:00+00:00,2.0,2.0,1.0,1.0
2026-01-15 00:00:00+00:00,13.0,5.0,4.0,4.0
2026-01-16 00:00:00+00:00,5.0,5.0,3.0,2.0
2026-01-17 00:00:00+00:00,7.0,3.0,0.0,0.0
2026-01-18 00:00:00+00:00,,,0.0,0.0
2026-01-19 00:00:00+00:00,,,7.0,3.0
2026-01-20 00:00:00+00:00,,,5.0,3.0
2026-01-21 00:00:00+00:00,,,2.0,2.0
2026-01-22 00:00:00+00:00,,,0.0,0.0
