referrer,views_total,views_unique
nature.com,135,67
Google,58,15
github.com,50,10
zellerlab.org,26,2
zellerlab.github.io,17,7
chatgpt.com,11,2
Bing,5,3
Baidu,4,1
statics.teams.cdn.office.net,2,1
www-nature-com.ezp-prod1.hul.harvard.edu,1,1
