time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-02 00:00:00+00:00,1,1,,
2024-11-03 00:00:00+00:00,1,1,,
2024-11-04 00:00:00+00:00,2,2,,
2024-11-05 00:00:00+00:00,1,1,7.0,1.0
2024-11-06 00:00:00+00:00,2,2,1.0,1.0
2024-11-07 00:00:00+00:00,1,1,1.0,1.0
2024-11-08 00:00:00+00:00,1,1,8.0,3.0
2024-11-09 00:00:00+00:00,3,2,1.0,1.0
2024-11-10 00:00:00+00:00,3,2,1.0,1.0
2024-11-11 00:00:00+00:00,1,1,,
2024-11-12 00:00:00+00:00,1,1,5.0,1.0
2024-11-13 00:00:00+00:00,1,1,,
2024-11-14 00:00:00+00:00,1,1,13.0,1.0
2024-11-15 00:00:00+00:00,1,1,1.0,1.0
