time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,23,8,23,10
2026-06-25 00:00:00+00:00,29,8,25,11
2026-06-26 00:00:00+00:00,19,6,32,11
2026-06-27 00:00:00+00:00,16,6,4,3
2026-06-28 00:00:00+00:00,9,4,7,4
2026-06-29 00:00:00+00:00,10,5,16,9
2026-06-30 00:00:00+00:00,3,3,5,4
2026-07-01 00:00:00+00:00,10,5,18,6
2026-07-02 00:00:00+00:00,11,6,10,3
2026-07-03 00:00:00+00:00,17,7,6,6
2026-07-04 00:00:00+00:00,18,9,1,1
2026-07-05 00:00:00+00:00,26,17,0,0
2026-07-06 00:00:00+00:00,11,7,5,4
2026-07-07 00:00:00+00:00,16,6,16,5
