time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,29,11,1,1
2026-04-19 00:00:00+00:00,35,13,5,2
2026-04-20 00:00:00+00:00,65,28,18,4
2026-04-21 00:00:00+00:00,88,32,12,7
2026-04-22 00:00:00+00:00,93,34,39,4
2026-04-23 00:00:00+00:00,76,25,6,4
2026-04-24 00:00:00+00:00,96,34,33,22
2026-04-25 00:00:00+00:00,43,22,88,38
2026-04-26 00:00:00+00:00,39,14,55,35
2026-04-27 00:00:00+00:00,23,10,104,39
2026-04-28 00:00:00+00:00,42,19,102,34
2026-04-29 00:00:00+00:00,81,20,71,33
2026-04-30 00:00:00+00:00,18,7,121,36
2026-05-01 00:00:00+00:00,45,13,27,11
