time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,34,9,19,12
2026-06-19 00:00:00+00:00,34,8,12,7
2026-06-20 00:00:00+00:00,47,12,1,1
2026-06-21 00:00:00+00:00,35,9,9,6
2026-06-22 00:00:00+00:00,38,9,16,8
2026-06-23 00:00:00+00:00,55,13,16,11
2026-06-24 00:00:00+00:00,23,8,23,10
2026-06-25 00:00:00+00:00,29,8,25,11
2026-06-26 00:00:00+00:00,19,6,32,11
2026-06-27 00:00:00+00:00,16,6,4,3
2026-06-28 00:00:00+00:00,9,4,7,4
2026-06-29 00:00:00+00:00,10,5,16,9
2026-06-30 00:00:00+00:00,3,3,5,4
2026-07-01 00:00:00+00:00,10,5,18,6
