time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,29,8,27,12
2026-05-06 00:00:00+00:00,28,9,34,22
2026-05-07 00:00:00+00:00,36,11,63,20
2026-05-08 00:00:00+00:00,16,10,21,6
2026-05-09 00:00:00+00:00,43,21,42,9
2026-05-10 00:00:00+00:00,26,9,8,7
2026-05-11 00:00:00+00:00,20,8,57,18
2026-05-12 00:00:00+00:00,25,6,29,15
2026-05-13 00:00:00+00:00,37,12,65,21
2026-05-14 00:00:00+00:00,12,7,47,16
2026-05-15 00:00:00+00:00,13,4,22,10
2026-05-16 00:00:00+00:00,35,8,11,7
2026-05-17 00:00:00+00:00,32,10,35,7
2026-05-18 00:00:00+00:00,26,10,18,8
