url_path,views_total,views_unique
/zellerlab/cayman,22,17
/zellerlab/cayman/pull/9,15,2
/zellerlab/cayman/pull/9/files,5,1
/zellerlab/cayman/issues,4,3
/zellerlab/cayman/fork,4,1
/zellerlab/cayman/tree/feature/proteome_annotation_20240921,4,1
/zellerlab/cayman/issues/8,2,2
/zellerlab/cayman/pull/7,2,2
/zellerlab/cayman/compare/feature/proteome_annotation_20240921...karchern:cayman:feature/proteome_annotation_20240921,2,1
/zellerlab/cayman/pull/9/commits/aaedf9145b747d6dbb44670c82d39d1b6f20d76b,2,1
