time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-22 00:00:00+00:00,2,2,2.0,2.0
2025-11-23 00:00:00+00:00,3,3,,
2025-11-24 00:00:00+00:00,2,2,3.0,2.0
2025-11-25 00:00:00+00:00,2,2,10.0,6.0
2025-11-26 00:00:00+00:00,6,6,7.0,4.0
2025-11-27 00:00:00+00:00,4,4,3.0,3.0
2025-11-28 00:00:00+00:00,4,4,2.0,2.0
2025-11-29 00:00:00+00:00,3,3,,
2025-11-30 00:00:00+00:00,2,2,,
2025-12-01 00:00:00+00:00,56,14,10.0,2.0
2025-12-02 00:00:00+00:00,39,10,26.0,6.0
2025-12-03 00:00:00+00:00,109,24,14.0,6.0
2025-12-04 00:00:00+00:00,8,4,6.0,4.0
2025-12-05 00:00:00+00:00,54,32,60.0,5.0
