time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-05 00:00:00+00:00,5,2,5.0,3.0
2024-12-06 00:00:00+00:00,2,2,2.0,1.0
2024-12-07 00:00:00+00:00,1,1,,
2024-12-08 00:00:00+00:00,6,3,6.0,1.0
2024-12-09 00:00:00+00:00,1,1,,
2024-12-10 00:00:00+00:00,2,2,19.0,2.0
2024-12-11 00:00:00+00:00,4,3,13.0,5.0
2024-12-12 00:00:00+00:00,1,1,11.0,3.0
2024-12-13 00:00:00+00:00,1,1,22.0,7.0
2024-12-14 00:00:00+00:00,1,1,,
2024-12-15 00:00:00+00:00,3,3,1.0,1.0
2024-12-16 00:00:00+00:00,4,2,2.0,1.0
2024-12-17 00:00:00+00:00,14,7,53.0,5.0
2024-12-18 00:00:00+00:00,2,2,15.0,6.0
