referrer,views_total,views_unique
nature.com,151,63
Google,32,12
zellerlab.org,26,2
zellerlab.github.io,25,8
github.com,23,6
chatgpt.com,12,2
Baidu,4,1
Bing,3,3
statics.teams.cdn.office.net,2,1
www-nature-com.ezp-prod1.hul.harvard.edu,1,1
