url_path,views_total,views_unique
/zellerlab/cayman,39,18
/zellerlab/cayman/issues,28,4
/zellerlab/cayman/issues/17,13,2
/zellerlab/cayman/tree/main/cayman,2,2
/zellerlab/cayman/actions/runs/18700098542/workflow,1,1
/zellerlab/cayman/commit/656efc12bdda8ffff8c344c3134cd95bc1f2acd4,1,1
/zellerlab/cayman/commit/795d4c94f5d1ff75b0c70c1d68a5d2d3181fba6c,1,1
/zellerlab/cayman/commit/9d97f224bd3d1cc843dc00672c3f1f6b0bb2ba75,1,1
/zellerlab/cayman/tree/main,1,1
/zellerlab/cayman/tree/main/cayman/annotate,1,1
