time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,25,12,0,0
2026-02-14 00:00:00+00:00,17,9,9,2
2026-02-15 00:00:00+00:00,29,12,0,0
2026-02-16 00:00:00+00:00,8,6,0,0
2026-02-17 00:00:00+00:00,13,8,2,2
2026-02-18 00:00:00+00:00,10,5,2,2
2026-02-19 00:00:00+00:00,14,7,2,2
2026-02-20 00:00:00+00:00,12,6,4,3
2026-02-21 00:00:00+00:00,11,6,1,1
2026-02-22 00:00:00+00:00,14,9,6,3
2026-02-23 00:00:00+00:00,18,9,42,4
2026-02-24 00:00:00+00:00,14,8,13,6
2026-02-25 00:00:00+00:00,18,8,5,2
2026-02-26 00:00:00+00:00,8,7,14,3
