referrer,views_total,views_unique
nature.com,297,161
github.com,77,12
Google,43,16
zellerlab.github.io,40,10
biorxiv.org,9,2
statics.teams.cdn.office.net,9,2
Bing,7,5
www-nature-com.ezp-prod1.hul.harvard.edu,6,2
Baidu,5,1
chatgpt.com,1,1
