time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,35,8,11,7
2026-05-17 00:00:00+00:00,32,10,35,7
2026-05-18 00:00:00+00:00,26,10,18,8
2026-05-19 00:00:00+00:00,34,11,21,13
2026-05-20 00:00:00+00:00,22,7,10,5
2026-05-21 00:00:00+00:00,18,7,17,12
2026-05-22 00:00:00+00:00,22,11,32,13
2026-05-23 00:00:00+00:00,11,6,19,7
2026-05-24 00:00:00+00:00,17,9,2,2
2026-05-25 00:00:00+00:00,36,16,16,8
2026-05-26 00:00:00+00:00,91,37,17,10
2026-05-27 00:00:00+00:00,67,32,30,12
2026-05-28 00:00:00+00:00,63,33,27,11
2026-05-29 00:00:00+00:00,17,7,39,16
