url_path,views_total,views_unique
/zellerlab/cayman,26,19
/zellerlab/cayman/tree/main/cayman,7,3
/zellerlab/cayman/tree/main/cayman/bin,5,3
/zellerlab/cayman/blob/main/cayman/__main__.py,2,2
/zellerlab/cayman/blob/main/cayman/bin/__init__.py,2,2
/zellerlab/cayman/tree/main/cayman/annotate,2,2
/zellerlab/cayman/blob/main/MANIFEST.in,1,1
/zellerlab/cayman/blob/main/README.md,1,1
/zellerlab/cayman/blob/main/cayman/annotate/__init__.py,1,1
/zellerlab/cayman/blob/main/cayman/annotate/crazy_annotator.py,1,1
