time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,14,9,1,1
2026-04-08 00:00:00+00:00,19,8,5,4
2026-04-09 00:00:00+00:00,16,7,4,3
2026-04-10 00:00:00+00:00,15,6,25,4
2026-04-11 00:00:00+00:00,47,14,3,2
2026-04-12 00:00:00+00:00,27,13,0,0
2026-04-13 00:00:00+00:00,34,12,10,7
2026-04-14 00:00:00+00:00,15,5,4,3
2026-04-15 00:00:00+00:00,34,13,14,5
2026-04-16 00:00:00+00:00,16,7,24,8
2026-04-17 00:00:00+00:00,14,7,1,1
2026-04-18 00:00:00+00:00,29,11,1,1
2026-04-19 00:00:00+00:00,35,13,5,2
2026-04-20 00:00:00+00:00,65,28,18,4
