time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-30 00:00:00+00:00,6,3,5.0,2.0
2025-05-01 00:00:00+00:00,6,3,,
2025-05-02 00:00:00+00:00,6,4,,
2025-05-03 00:00:00+00:00,4,3,,
2025-05-04 00:00:00+00:00,2,2,,
2025-05-05 00:00:00+00:00,7,4,11.0,5.0
2025-05-06 00:00:00+00:00,5,3,4.0,3.0
2025-05-07 00:00:00+00:00,5,4,,
2025-05-08 00:00:00+00:00,6,3,3.0,2.0
2025-05-09 00:00:00+00:00,5,4,,
2025-05-10 00:00:00+00:00,6,3,2.0,1.0
2025-05-11 00:00:00+00:00,6,3,1.0,1.0
2025-05-12 00:00:00+00:00,5,4,3.0,1.0
2025-05-13 00:00:00+00:00,2,2,3.0,2.0
