referrer,views_total,views_unique
nature.com,187,86
Google,57,17
github.com,51,11
zellerlab.github.io,12,7
biorxiv.org,9,2
Bing,6,4
www-nature-com.ezp-prod1.hul.harvard.edu,6,2
Baidu,5,1
statics.teams.cdn.office.net,2,1
chatgpt.com,1,1
