time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30 00:00:00+00:00,3,2,0,0
2026-08-31 00:00:00+00:00,8,7,30,5
2026-09-01 00:00:00+00:00,15,10,13,6
2026-09-02 00:00:00+00:00,9,4,7,4
2026-09-03 00:00:00+00:00,3,3,12,6
2026-09-04 00:00:00+00:00,6,4,6,5
2026-09-05 00:00:00+00:00,1079,5,2,2
2026-09-06 00:00:00+00:00,9,4,1,1
2026-09-07 00:00:00+00:00,2,2,36,6
2026-09-08 00:00:00+00:00,2,2,7,7
2026-09-09 00:00:00+00:00,6,4,4,4
2026-09-10 00:00:00+00:00,7,6,59,12
2026-09-11 00:00:00+00:00,3,3,19,8
2026-09-12 00:00:00+00:00,5,4,11,6
