time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-05 00:00:00+00:00,26,17,0,0
2026-07-06 00:00:00+00:00,11,7,5,4
2026-07-07 00:00:00+00:00,16,6,16,5
2026-07-08 00:00:00+00:00,20,8,7,3
2026-07-09 00:00:00+00:00,26,15,9,6
2026-07-10 00:00:00+00:00,4,4,13,3
2026-07-11 00:00:00+00:00,8,7,4,3
2026-07-12 00:00:00+00:00,20,4,2,1
2026-07-13 00:00:00+00:00,21,10,6,5
2026-07-14 00:00:00+00:00,28,10,11,7
2026-07-15 00:00:00+00:00,59,27,32,7
2026-07-16 00:00:00+00:00,10,5,10,5
2026-07-17 00:00:00+00:00,13,7,16,8
2026-07-18 00:00:00+00:00,11,6,8,4
