time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,6,4,6,5
2026-09-05 00:00:00+00:00,1079,5,2,2
2026-09-06 00:00:00+00:00,9,4,1,1
2026-09-07 00:00:00+00:00,2,2,36,6
2026-09-08 00:00:00+00:00,2,2,7,7
2026-09-09 00:00:00+00:00,6,4,4,4
2026-09-10 00:00:00+00:00,7,6,59,12
2026-09-11 00:00:00+00:00,3,3,19,8
2026-09-12 00:00:00+00:00,5,4,11,6
2026-09-13 00:00:00+00:00,7,7,6,4
2026-09-14 00:00:00+00:00,2,2,12,8
2026-09-15 00:00:00+00:00,18,8,35,10
2026-09-16 00:00:00+00:00,28,13,11,9
2026-09-17 00:00:00+00:00,22,14,33,13
